Year,Quarter,Total,"Under $200,000","$200,000 to $299,999","$300,000 to $499,999","$500,000 to $749,999","$750,000 and over",Region
2002,Q1,16,5,5,5,1,1,Northeast
2002,Q1,68,24,24,15,3,2,West
2002,Q2,18,7,4,5,1,0,Northeast
2002,Q2,77,28,26,17,4,2,West
2002,Q3,17,7,4,5,1,0,Northeast
2002,Q3,68,27,22,14,3,2,West
2002,Q4,13,3,4,4,1,0,Northeast
2002,Q4,60,22,18,16,3,1,West
2003,Q1,19,9,3,5,2,0,Northeast
2003,Q1,70,25,20,20,4,2,West
2003,Q2,21,6,5,7,1,1,Northeast
2003,Q2,90,33,26,22,7,2,West
2003,Q3,20,5,8,6,1,1,Northeast
2003,Q3,79,26,19,23,8,3,West
2003,Q4,19,3,7,7,2,1,Northeast
2003,Q4,67,24,14,21,6,3,West
2004,Q1,22,5,7,7,2,1,Northeast
2004,Q1,91,27,25,28,8,3,West
2004,Q2,25,4,9,8,3,1,Northeast
2004,Q2,96,24,30,29,9,4,West
2004,Q3,17,2,4,7,2,1,Northeast
2004,Q3,85,26,20,24,9,5,West
2004,Q4,19,2,4,8,3,1,Northeast
2004,Q4,75,17,21,23,10,5,West
2005,Q1,18,2,4,9,2,1,Northeast
2005,Q1,94,19,24,33,14,5,West
2005,Q2,26,4,8,10,4,1,Northeast
2005,Q2,97,14,27,37,13,6,West
2005,Q3,20,3,5,7,3,2,Northeast
2005,Q3,93,12,24,36,14,6,West
2005,Q4,17,1,4,7,3,1,Northeast
2005,Q4,74,8,22,30,10,4,West
2006,Q1,16,2,5,6,2,1,Northeast
2006,Q1,78,8,25,30,10,6,West
2006,Q2,18,2,4,7,2,2,Northeast
2006,Q2,76,7,23,28,12,6,West
2006,Q3,17,3,3,6,2,2,Northeast
2006,Q3,61,5,19,22,10,5,West
2006,Q4,13,1,4,5,2,1,Northeast
2006,Q4,51,4,13,22,9,3,West
2007,Q1,15,1,4,6,3,2,Northeast
2007,Q1,51,5,15,19,8,4,West
2007,Q2,23,6,5,7,3,2,Northeast
2007,Q2,54,6,15,19,9,5,West
2007,Q3,14,3,4,4,1,1,Northeast
2007,Q3,45,6,14,14,7,3,West
2007,Q4,13,3,2,5,2,1,Northeast
2007,Q4,30,5,9,11,4,2,West
2008,Q1,9,1,3,3,2,1,Northeast
2008,Q1,36,5,14,12,3,2,West
2008,Q2,10,1,3,3,1,2,Northeast
2008,Q2,33,4,12,11,4,2,West
2008,Q3,8,0,2,3,1,1,Northeast
2008,Q3,27,5,9,9,3,1,West
2008,Q4,8,1,3,3,1,1,Northeast
2008,Q4,18,3,7,6,2,1,West
2009,Q1,6,1,2,1,1,0,Northeast
2009,Q1,18,4,8,5,1,1,West
2009,Q2,8,2,3,2,1,1,Northeast
2009,Q2,26,6,8,8,2,1,West
2009,Q3,10,2,2,3,2,1,Northeast
2009,Q3,26,6,10,6,2,1,West
2009,Q4,8,1,3,3,1,1,Northeast
2009,Q4,18,4,7,4,1,1,West
2010,Q1,8,1,2,3,1,1,Northeast
2010,Q1,22,5,8,6,2,1,West
2010,Q2,9,2,2,4,1,1,Northeast
2010,Q2,21,5,8,6,2,1,West
2010,Q3,8,1,3,2,1,1,Northeast
2010,Q3,15,4,7,3,1,0,West
2010,Q4,6,1,2,2,1,0,Northeast
2010,Q4,15,4,6,4,1,0,West
2011,Q1,6,0,2,3,1,0,Northeast
2011,Q1,17,4,8,4,1,0,West
2011,Q2,6,1,2,2,1,0,Northeast
2011,Q2,22,4,9,6,1,1,West
2011,Q3,6,1,2,2,1,0,Northeast
2011,Q3,16,4,6,5,1,1,West
2011,Q4,4,0,1,1,0,0,Northeast
2011,Q4,17,4,7,4,1,0,West
2012,Q1,7,1,2,2,1,0,Northeast
2012,Q1,21,3,10,6,1,1,West
2012,Q2,8,1,2,3,1,1,Northeast
2012,Q2,30,6,13,8,2,1,West
2012,Q3,9,1,2,4,1,1,Northeast
2012,Q3,26,5,11,7,2,1,West
2012,Q4,6,1,1,2,1,1,Northeast
2012,Q4,21,4,8,7,2,1,West
2013,Q1,8,1,2,3,1,1,Northeast
2013,Q1,32,4,12,11,3,1,West
2013,Q2,9,1,2,3,2,1,Northeast
2013,Q2,31,4,11,12,3,1,West
2013,Q3,8,1,3,2,1,1,Northeast
2013,Q3,22,3,7,9,2,1,West
2013,Q4,6,1,1,2,1,1,Northeast
2013,Q4,21,1,7,8,2,2,West
2014,Q1,6,1,2,2,1,1,Northeast
2014,Q1,25,2,8,10,2,2,West
2014,Q2,8,1,2,2,1,1,Northeast
2014,Q2,30,2,9,13,4,2,West
2014,Q3,7,0,1,2,2,2,Northeast
2014,Q3,27,3,9,11,3,2,West
2014,Q4,6,0,2,2,1,1,Northeast
2014,Q4,26,2,7,11,3,2,West
2015,Q1,5,0,1,2,1,1,Northeast
2015,Q1,36,2,11,15,5,2,West
2015,Q2,6,0,1,3,1,1,Northeast
2015,Q2,37,3,11,17,5,1,West
2015,Q3,7,1,2,3,1,1,Northeast
2015,Q3,29,2,9,12,4,2,West
2015,Q4,7,0,1,2,1,2,Northeast
2015,Q4,28,2,8,12,5,2,West
2016,Q1,7,0,1,3,2,1,Northeast
2016,Q1,35,1,11,15,5,2,West
2016,Q2,9,0,2,3,3,2,Northeast
2016,Q2,41,1,10,20,7,3,West
2016,Q3,8,1,1,3,1,2,Northeast
2016,Q3,34,2,9,15,5,3,West
2016,Q4,7,0,2,3,1,1,Northeast
2016,Q4,32,1,8,15,6,3,West
2017,Q1,9,0,1,3,3,2,Northeast
2017,Q1,42,1,10,21,7,3,West
2017,Q2,12,0,3,3,3,2,Northeast
2017,Q2,46,1,10,24,8,3,West
2017,Q3,10,0,2,4,2,2,Northeast
2017,Q3,35,1,8,18,6,3,West
2017,Q4,9,0,2,2,2,3,Northeast
2017,Q4,40,1,7,20,9,4,West
2018,Q1,9,1,1,4,2,1,Northeast
2018,Q1,47,2,9,24,10,4,West
2018,Q2,11,0,3,3,2,2,Northeast
2018,Q2,44,1,9,20,9,5,West
2018,Q3,7,0,1,2,2,2,Northeast
2018,Q3,38,1,6,21,7,4,West
2018,Q4,6,0,0,2,2,1,Northeast
2018,Q4,30,1,5,16,6,3,West
2019,Q1,7,1,1,3,2,1,Northeast
2019,Q1,49,1,7,27,11,3,West
2019,Q2,8,0,1,3,2,2,Northeast
2019,Q2,50,1,8,26,11,4,West
2019,Q3,8,0,1,3,2,2,Northeast
2019,Q3,41,1,8,20,10,3,West
2019,Q4,7,0,1,3,2,1,Northeast
2019,Q4,42,1,7,20,11,4,West
2020,Q1,8,0,1,3,3,2,Northeast
2020,Q1,53,1,7,30,12,4,West
2020,Q2,10,1,1,4,2,2,Northeast
2020,Q2,50,0,7,28,11,3,West
2020,Q3,11,0,1,6,2,2,Northeast
2020,Q3,63,1,5,38,13,5,West
2020,Q4,8,0,0,4,3,1,Northeast
2020,Q4,52,0,3,32,12,4,West
2021,Q1,11,0,0,5,3,3,Northeast
2021,Q1,55,1,3,27,18,6,West
2021,Q2,10,0,1,3,3,4,Northeast
2021,Q2,49,0,2,24,18,5,West
2021,Q3,8,0,0,4,2,2,Northeast
2021,Q3,45,0,2,19,15,9,West
2021,Q4,7,0,1,2,2,2,Northeast
2021,Q4,47,0,1,19,20,8,West
2022,Q1,11,0,0,4,4,3,Northeast
2022,Q1,55,0,1,17,27,10,West
2022,Q2,7,0,0,2,2,2,Northeast
2022,Q2,39,0,0,12,17,9,West
